arm,source,host,speaker,why_unclear,url
otto,src:3,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/140677/TouchBistro/reviews/?page=2
otto,src:4,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/140677/TouchBistro/reviews/?page=2
otto,src:5,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/140677/TouchBistro/reviews/?page=2
otto,src:6,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/140677/TouchBistro/reviews/?page=2
otto,src:7,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/140677/TouchBistro/reviews/?page=2
otto,src:8,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/140677/TouchBistro/reviews/?page=2
otto,src:9,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/135040/Revel-iPad-POS/reviews/?page=5
otto,src:10,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/135040/Revel-iPad-POS/reviews/?page=5
otto,src:11,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/135040/Revel-iPad-POS/reviews/?page=5
otto,src:12,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=4
otto,src:13,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/toasttab.com
otto,src:14,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/175628/Square-Point-of-Sale/reviews/?page=2
otto,src:15,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/175628/Square-Point-of-Sale/reviews/?page=2
otto,src:16,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=16
otto,src:17,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/197514/Delivery-Management-Sofware/reviews/
otto,src:18,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/197514/Delivery-Management-Sofware/reviews/
otto,src:19,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/197514/Delivery-Management-Sofware/reviews/
otto,src:20,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/123038/7shifts-Restaurant-Scheduling/reviews/?page=4
otto,src:21,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/123038/7shifts-Restaurant-Scheduling/reviews/?page=4
otto,src:22,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/123038/7shifts-Restaurant-Scheduling/reviews/?page=4
otto,src:23,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/123038/7shifts-Restaurant-Scheduling/reviews/?page=4
otto,src:24,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/10002488/Owner/reviews/
otto,src:25,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/10002488/Owner/reviews/
otto,src:26,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/10002488/Owner/reviews/
otto,src:27,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/197473/SpotOn-Restaurant/reviews/
otto,src:28,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/197473/SpotOn-Restaurant/reviews/
otto,src:29,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/197473/SpotOn-Restaurant/reviews/
otto,src:30,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/197473/SpotOn-Restaurant/reviews/
otto,src:31,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/229841/ChowNow/reviews/
otto,src:32,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/229841/ChowNow/reviews/
otto,src:33,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/229841/ChowNow/reviews/
otto,src:34,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/229841/ChowNow/reviews/
otto,src:35,council.nyc.gov,press,"page carries a sponsorship marker somewhere; check whether this article is the sponsored one",https://council.nyc.gov/press/2021/08/26/2102/
otto,src:36,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/211849/Lightspeed-Resturant/reviews/
otto,src:37,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/211849/Lightspeed-Resturant/reviews/
otto,src:38,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/211849/Lightspeed-Resturant/reviews/
otto,src:39,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/211849/Lightspeed-Resturant/reviews/
otto,src:40,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=8
otto,src:41,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=8
otto,src:42,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=12
otto,src:43,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=12
otto,src:44,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=12
otto,src:47,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=6
otto,src:48,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=10
